fwd	rev	xform	assay	target	experiment	biosample	biosample_summary	library_construction
data/processed/bigwigs/ENCSR229XTQ_skeletal_muscle_tissue_pl.bigWig	data/processed/bigwigs/ENCSR229XTQ_skeletal_muscle_tissue_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR229XTQ-skeletal_muscle_tissue	ENCSR229XTQ	skeletal muscle tissue	Homo sapiens skeletal muscle tissue tissue male adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR659YNL_left_lung_pl.bigWig	data/processed/bigwigs/ENCSR659YNL_left_lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR659YNL-left_lung	ENCSR659YNL	left lung	Homo sapiens left lung tissue male adult (40 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR282IJP_neutrophil_pl.bigWig	data/processed/bigwigs/ENCSR282IJP_neutrophil_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR282IJP-neutrophil	ENCSR282IJP	neutrophil	Homo sapiens neutrophil	capped RNA enrichment
data/processed/bigwigs/ENCSR888DKJ_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR888DKJ_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR888DKJ-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR888DKJ	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (67 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR754LBG_duodenum_pl.bigWig	data/processed/bigwigs/ENCSR754LBG_duodenum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR754LBG-duodenum	ENCSR754LBG	duodenum	Homo sapiens duodenum tissue female adult (70 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR250REI_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR250REI_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR250REI-peripheral_blood_mononuclear_cell	ENCSR250REI	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR180NBV_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR180NBV_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR180NBV-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR180NBV	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (71 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR739MOQ_body_of_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR739MOQ_body_of_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR739MOQ-body_of_pancreas	ENCSR739MOQ	body of pancreas	Homo sapiens body of pancreas tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR117JKC_trachea_pl.bigWig	data/processed/bigwigs/ENCSR117JKC_trachea_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR117JKC-trachea	ENCSR117JKC	trachea	Homo sapiens trachea tissue male adult (54 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR008TSD_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR008TSD_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR008TSD-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR008TSD	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (42 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR723JIC_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR723JIC_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR723JIC-peripheral_blood_mononuclear_cell	ENCSR723JIC	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR980TGS_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR980TGS_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR980TGS-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR980TGS	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (51 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR083AMN_B_cell_pl.bigWig	data/processed/bigwigs/ENCSR083AMN_B_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR083AMN-B_cell	ENCSR083AMN	B cell	Homo sapiens B cell	capped RNA enrichment
data/processed/bigwigs/ENCSR089CQL_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR089CQL_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR089CQL-T-cell	ENCSR089CQL	T-cell	Homo sapiens with type 1 diabetes mellitus; T-cell female adult (29 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR294JPW_left_ventricle_myocardium_pl.bigWig	data/processed/bigwigs/ENCSR294JPW_left_ventricle_myocardium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR294JPW-left_ventricle_myocardium	ENCSR294JPW	left ventricle myocardium	Homo sapiens left ventricle myocardium tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR321WCE_neural_crest_cell_pl.bigWig	data/processed/bigwigs/ENCSR321WCE_neural_crest_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR321WCE-neural_crest_cell	ENCSR321WCE	neural crest cell	Homo sapiens neural crest cell	capped RNA enrichment
data/processed/bigwigs/ENCSR357VUN_ovary_pl.bigWig	data/processed/bigwigs/ENCSR357VUN_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR357VUN-ovary	ENCSR357VUN	ovary	Homo sapiens ovary tissue female adult (45 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR393PGX_breast_epithelium_pl.bigWig	data/processed/bigwigs/ENCSR393PGX_breast_epithelium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR393PGX-breast_epithelium	ENCSR393PGX	breast epithelium	Homo sapiens breast epithelium tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR489BCG_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR489BCG_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR489BCG-pancreas	ENCSR489BCG	pancreas	Homo sapiens pancreas organoid	capped RNA enrichment
data/processed/bigwigs/ENCSR243MVI_liver_pl.bigWig	data/processed/bigwigs/ENCSR243MVI_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR243MVI-liver	ENCSR243MVI	liver	Homo sapiens liver tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR104MSL_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR104MSL_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR104MSL-pancreas	ENCSR104MSL	pancreas	Homo sapiens pancreas organoid	capped RNA enrichment
data/processed/bigwigs/ENCSR928ZWP_lower_leg_skin_pl.bigWig	data/processed/bigwigs/ENCSR928ZWP_lower_leg_skin_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR928ZWP-lower_leg_skin	ENCSR928ZWP	lower leg skin	Homo sapiens lower leg skin tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR331UGM_liver_pl.bigWig	data/processed/bigwigs/ENCSR331UGM_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR331UGM-liver	ENCSR331UGM	liver	Homo sapiens liver tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR149WMX_Metastatic_Liver_Carcinoma_in_the_Lung_pl.bigWig	data/processed/bigwigs/ENCSR149WMX_Metastatic_Liver_Carcinoma_in_the_Lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR149WMX-Metastatic_Liver_Carcinoma_in_the_Lung	ENCSR149WMX	Metastatic Liver Carcinoma in the Lung	Homo sapiens Metastatic Liver Carcinoma in the Lung tissue female adult (62 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR633OWM_pulmonary_lymph_node_pl.bigWig	data/processed/bigwigs/ENCSR633OWM_pulmonary_lymph_node_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR633OWM-pulmonary_lymph_node	ENCSR633OWM	pulmonary lymph node	Homo sapiens pulmonary lymph node tissue female adult (58 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR384HWB_ascending_aorta_pl.bigWig	data/processed/bigwigs/ENCSR384HWB_ascending_aorta_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR384HWB-ascending_aorta	ENCSR384HWB	ascending aorta	Homo sapiens ascending aorta tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR347PQY_upper_lobe_of_left_lung_pl.bigWig	data/processed/bigwigs/ENCSR347PQY_upper_lobe_of_left_lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR347PQY-upper_lobe_of_left_lung	ENCSR347PQY	upper lobe of left lung	Homo sapiens upper lobe of left lung tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR335ZMZ_OCI-LY7_pl.bigWig	data/processed/bigwigs/ENCSR335ZMZ_OCI-LY7_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR335ZMZ-OCI-LY7	ENCSR335ZMZ	OCI-LY7	Homo sapiens OCI-LY7	capped RNA enrichment
data/processed/bigwigs/ENCSR657RPS_uterus_pl.bigWig	data/processed/bigwigs/ENCSR657RPS_uterus_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR657RPS-uterus	ENCSR657RPS	uterus	Homo sapiens uterus tissue female adult (38 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR834OVY_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR834OVY_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR834OVY-peripheral_blood_mononuclear_cell	ENCSR834OVY	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR262PWK_type_B_pancreatic_cell_pl.bigWig	data/processed/bigwigs/ENCSR262PWK_type_B_pancreatic_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR262PWK-type_B_pancreatic_cell	ENCSR262PWK	type B pancreatic cell	Homo sapiens type B pancreatic cell	capped RNA enrichment
data/processed/bigwigs/ENCSR300AAD_Metastatic_Liver_Carcinoma_in_the_Adrenal_Gland_pl.bigWig	data/processed/bigwigs/ENCSR300AAD_Metastatic_Liver_Carcinoma_in_the_Adrenal_Gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR300AAD-Metastatic_Liver_Carcinoma_in_the_Adrenal_Gland	ENCSR300AAD	Metastatic Liver Carcinoma in the Adrenal Gland	Homo sapiens Metastatic Liver Carcinoma in the Adrenal Gland tissue female adult (30 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR687HZX_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR687HZX_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR687HZX-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR687HZX	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR997YHR_lung_pl.bigWig	data/processed/bigwigs/ENCSR997YHR_lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR997YHR-lung	ENCSR997YHR	lung	Homo sapiens lung tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR744JVA_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR744JVA_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR744JVA-pancreas	ENCSR744JVA	pancreas	Homo sapiens pancreas organoid	capped RNA enrichment
data/processed/bigwigs/ENCSR338WJS_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR338WJS_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR338WJS-pancreas	ENCSR338WJS	pancreas	Homo sapiens pancreas organoid	capped RNA enrichment
data/processed/bigwigs/ENCSR407CCJ_cerebellum_pl.bigWig	data/processed/bigwigs/ENCSR407CCJ_cerebellum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR407CCJ-cerebellum	ENCSR407CCJ	cerebellum	Homo sapiens cerebellum tissue female adult (51 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR155NVW_penis_pl.bigWig	data/processed/bigwigs/ENCSR155NVW_penis_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR155NVW-penis	ENCSR155NVW	penis	Homo sapiens penis tissue male adult (50 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR305RPP_testis_pl.bigWig	data/processed/bigwigs/ENCSR305RPP_testis_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR305RPP-testis	ENCSR305RPP	testis	Homo sapiens testis tissue male	capped RNA enrichment
data/processed/bigwigs/ENCSR290MPW_heart_left_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR290MPW_heart_left_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR290MPW-heart_left_ventricle	ENCSR290MPW	heart left ventricle	Homo sapiens heart left ventricle tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR219NJB_spleen_pl.bigWig	data/processed/bigwigs/ENCSR219NJB_spleen_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR219NJB-spleen	ENCSR219NJB	spleen	Homo sapiens spleen tissue female adult (61 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR219QKX_heart_right_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR219QKX_heart_right_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR219QKX-heart_right_ventricle	ENCSR219QKX	heart right ventricle	Homo sapiens heart right ventricle tissue male adult (40 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR656ZDH_heart_left_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR656ZDH_heart_left_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR656ZDH-heart_left_ventricle	ENCSR656ZDH	heart left ventricle	Homo sapiens heart left ventricle tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR065NDB_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR065NDB_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR065NDB-T-cell	ENCSR065NDB	T-cell	Homo sapiens with type 1 diabetes mellitus; T-cell female adult (22 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR769SLJ_transverse_colon_pl.bigWig	data/processed/bigwigs/ENCSR769SLJ_transverse_colon_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR769SLJ-transverse_colon	ENCSR769SLJ	transverse colon	Homo sapiens transverse colon tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR069DQH_cytotoxic_T_cell_pl.bigWig	data/processed/bigwigs/ENCSR069DQH_cytotoxic_T_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR069DQH-cytotoxic_T_cell	ENCSR069DQH	cytotoxic T cell	Homo sapiens cytotoxic T cell	capped RNA enrichment
data/processed/bigwigs/ENCSR617JRP_Metastatic_Breast_Carcinoma_in_the_Ovary_pl.bigWig	data/processed/bigwigs/ENCSR617JRP_Metastatic_Breast_Carcinoma_in_the_Ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR617JRP-Metastatic_Breast_Carcinoma_in_the_Ovary	ENCSR617JRP	Metastatic Breast Carcinoma in the Ovary	Homo sapiens Metastatic Breast Carcinoma in the Ovary tissue female adult (57 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR100PNA_paraaortic_lymph_node_pl.bigWig	data/processed/bigwigs/ENCSR100PNA_paraaortic_lymph_node_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR100PNA-paraaortic_lymph_node	ENCSR100PNA	paraaortic lymph node	Homo sapiens paraaortic lymph node tissue female adult (68 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR065QHA_left_lobe_of_liver_pl.bigWig	data/processed/bigwigs/ENCSR065QHA_left_lobe_of_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR065QHA-left_lobe_of_liver	ENCSR065QHA	left lobe of liver	Homo sapiens left lobe of liver tissue male adult (45 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR233GRN_bronchus_pl.bigWig	data/processed/bigwigs/ENCSR233GRN_bronchus_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR233GRN-bronchus	ENCSR233GRN	bronchus	Homo sapiens bronchus tissue female adult (68 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR997INZ_right_atrium_auricular_region_pl.bigWig	data/processed/bigwigs/ENCSR997INZ_right_atrium_auricular_region_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR997INZ-right_atrium_auricular_region	ENCSR997INZ	right atrium auricular region	Homo sapiens right atrium auricular region tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR431MXP_thyroid_gland_pl.bigWig	data/processed/bigwigs/ENCSR431MXP_thyroid_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR431MXP-thyroid_gland	ENCSR431MXP	thyroid gland	Homo sapiens thyroid gland tissue female adult (51 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR255MUU_progenitor_cell_of_endocrine_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR255MUU_progenitor_cell_of_endocrine_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR255MUU-progenitor_cell_of_endocrine_pancreas	ENCSR255MUU	progenitor cell of endocrine pancreas	Homo sapiens progenitor cell of endocrine pancreas	capped RNA enrichment
data/processed/bigwigs/ENCSR673CJC_Metastatic_Lung_Carcinoma_in_the_Adrenal_Gland_pl.bigWig	data/processed/bigwigs/ENCSR673CJC_Metastatic_Lung_Carcinoma_in_the_Adrenal_Gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR673CJC-Metastatic_Lung_Carcinoma_in_the_Adrenal_Gland	ENCSR673CJC	Metastatic Lung Carcinoma in the Adrenal Gland	Homo sapiens Metastatic Lung Carcinoma in the Adrenal Gland tissue female adult (54 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR946MDO_gastroesophageal_sphincter_pl.bigWig	data/processed/bigwigs/ENCSR946MDO_gastroesophageal_sphincter_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR946MDO-gastroesophageal_sphincter	ENCSR946MDO	gastroesophageal sphincter	Homo sapiens gastroesophageal sphincter tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR841GXY_monocyte_pl.bigWig	data/processed/bigwigs/ENCSR841GXY_monocyte_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR841GXY-monocyte	ENCSR841GXY	monocyte	Homo sapiens monocyte	capped RNA enrichment
data/processed/bigwigs/ENCSR296XBI_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR296XBI_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR296XBI-T-cell	ENCSR296XBI	T-cell	Homo sapiens T-cell	capped RNA enrichment
data/processed/bigwigs/ENCSR072JHG_liver_pl.bigWig	data/processed/bigwigs/ENCSR072JHG_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR072JHG-liver	ENCSR072JHG	liver	Homo sapiens liver tissue female adult (71 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR883HAT_uterus_pl.bigWig	data/processed/bigwigs/ENCSR883HAT_uterus_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR883HAT-uterus	ENCSR883HAT	uterus	Homo sapiens uterus tissue female adult (42 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR676YGJ_heart_left_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR676YGJ_heart_left_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR676YGJ-heart_left_ventricle	ENCSR676YGJ	heart left ventricle	Homo sapiens heart left ventricle tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR571OAW_mesothelial_cell_of_epicardium_pl.bigWig	data/processed/bigwigs/ENCSR571OAW_mesothelial_cell_of_epicardium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR571OAW-mesothelial_cell_of_epicardium	ENCSR571OAW	mesothelial cell of epicardium	Homo sapiens mesothelial cell of epicardium	capped RNA enrichment
data/processed/bigwigs/ENCSR632XIZ_skeletal_muscle_tissue_pl.bigWig	data/processed/bigwigs/ENCSR632XIZ_skeletal_muscle_tissue_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR632XIZ-skeletal_muscle_tissue	ENCSR632XIZ	skeletal muscle tissue	Homo sapiens skeletal muscle tissue tissue female adult (29 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR179FHG_sigmoid_colon_pl.bigWig	data/processed/bigwigs/ENCSR179FHG_sigmoid_colon_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR179FHG-sigmoid_colon	ENCSR179FHG	sigmoid colon	Homo sapiens sigmoid colon tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR246YHR_esophagus_muscularis_mucosa_pl.bigWig	data/processed/bigwigs/ENCSR246YHR_esophagus_muscularis_mucosa_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR246YHR-esophagus_muscularis_mucosa	ENCSR246YHR	esophagus muscularis mucosa	Homo sapiens esophagus muscularis mucosa tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR353ZXW_SP-49_pl.bigWig	data/processed/bigwigs/ENCSR353ZXW_SP-49_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR353ZXW-SP-49	ENCSR353ZXW	SP-49	Homo sapiens SP-49	capped RNA enrichment
data/processed/bigwigs/ENCSR845LKT_right_lobe_of_liver_pl.bigWig	data/processed/bigwigs/ENCSR845LKT_right_lobe_of_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR845LKT-right_lobe_of_liver	ENCSR845LKT	right lobe of liver	Homo sapiens right lobe of liver tissue female child (16 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR794VAJ_sciatic_nerve_pl.bigWig	data/processed/bigwigs/ENCSR794VAJ_sciatic_nerve_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR794VAJ-sciatic_nerve	ENCSR794VAJ	sciatic nerve	Homo sapiens sciatic nerve tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR610POV_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR610POV_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR610POV-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR610POV	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (40 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR220OLX_left_colon_pl.bigWig	data/processed/bigwigs/ENCSR220OLX_left_colon_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR220OLX-left_colon	ENCSR220OLX	left colon	Homo sapiens left colon tissue female adult (46 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR342WAR_neuron_pl.bigWig	data/processed/bigwigs/ENCSR342WAR_neuron_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR342WAR-neuron	ENCSR342WAR	neuron	Homo sapiens neuron	capped RNA enrichment
data/processed/bigwigs/ENCSR956DBV_suprapubic_skin_pl.bigWig	data/processed/bigwigs/ENCSR956DBV_suprapubic_skin_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR956DBV-suprapubic_skin	ENCSR956DBV	suprapubic skin	Homo sapiens suprapubic skin tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR482XCK_ovary_pl.bigWig	data/processed/bigwigs/ENCSR482XCK_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR482XCK-ovary	ENCSR482XCK	ovary	Homo sapiens ovary tissue female adult (53 years)	capped RNA enrichment
